fld_id,fld_pcode,fld_pname,fld_subcode,fld_order,fld_visit,fld_page,fld_icon,fld_type
8,upp,ปรับปรุงราคาสินค้า,pur,8,1,up-product-price,fa-circle,1
9,po,สร้างใบสั่งซื้อ,pur,9,1,po,fa-circle,1
10,pol,รายการใบสั่งซื้อ,pur,10,1,po-list,fa-circle,1
11,rec,รับสินค้า,wh,11,1,receive,fa-circle,1
13,pic,เบิกสินค้า,wh,13,1,pick,fa-circle,1
1,rq,ลูกค้าขอให้เสนอราคา,sale,1,1,req-quo,fa-circle,1
2,rql,รายการขอราคา,sale,2,1,req-quo-list,fa-circle,1
3,rqc,เปรียบเทียบราคา,sale,3,1,req-quo-com,fa-circle,1
4,quo,ใบเสนอราคา,sale,4,1,quo,fa-circle,1
5,od,เปิดบิลขาย,sale,5,1,order,fa-circle,1
6,prql,รายการขอราคาสินค้า,pur,6,1,pre-req-quo-list,fa-circle,1
7,rqs,ขอราคาซัพพลายเออร์,pur,7,1,req-quo-vendor,fa-circle,1
18,deb,บัญชีลูกหนี้,acc,18,1,debtor,fa-circle,1
19,fol,บันทึกการติดตาม,acc,19,1,follow,fa-circle,1
20,requpo,การเสนอขาย/คำสั่งซื้อ,rep,20,1,report,fa-circle,1
21,resupo,ต้นทุนสินค้า/การจัดซื้อ,rep,21,1,report,fa-circle,1
22,reprwh,ราคาสินค้า/คลังสินค้า,rep,22,1,report,fa-circle,1
12,pua,จัดเก็บสินค้าเข้าคลัง,wh,12,1,putaway,fa-circle,1
14,del,การจัดส่งสินค้า,wh,14,1,delivery,fa-circle,1
15,aj,ปรับปรุงคลังสินค้า,wh,15,1,adjust,fa-circle,1
16,bil,ออกบิล/ใบเสร็จรับเงืน,acc,16,1,billing,fa-circle,1
17,col,วางบิล/รับเซ็ค,acc,17,1,collection,fa-circle,1
23,redebill,การจัดส่งสินค้า/วางบิล,rep,23,1,report,fa-circle,1
24,redein,บัญชีลูกหนี้/รายรับ,rep,24,1,report,fa-circle,1
25,redeex,บัญชีเจ้าหนี้/รายจ่าย,rep,25,1,report,fa-circle,1
26,use,ผู้ใช้,set,26,1,users,fa-circle,1
27,role,กลุ่ม,set,27,1,users,fa-circle,1
28,gra,สิทธิ,set,28,1,users,fa-circle,1
29,eve,ประวัติการเข้าใช้ระบบ,set,29,1,users,fa-circle,1
30,sys,ผู้ดูและระบบ,set,30,1,system,fa-circle,1
31,help,ช่วยเหลือ,help,0,1,help,fa-circle,0
32,ud,ข้อมูลผู้ใช้,set,31,1,user-detail,fasfa-user,1
33,cm,ลูกค้า,sale,0,1,customers,fa-circle,1
34,sup,ซัพพลายเออร์,pur,5,1,suppliers,fa-circle,1
